experiment_id,phase,dataset_version,cheese_category,prediction_task,model_family,model_config_id,n_train,n_val,n_test,split_strategy,grouping_variable,n_folds,train_r2,val_r2,test_r2,train_rmse,val_rmse,test_rmse,test_mae,result_file_path,evidence_status,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,test_accuracy,test_macro_f1,notes,loro_mean_r2,loro_median_r2,loro_std_r2,loro_min_r2,loro_max_r2
EXP-0045,production_context_holdout,v7,hard,safety_endpoint,random_forest,production_random_forest_v7,2240.0,480.0,480.0,context_id-grouped 70/15/15,context_id,1,0.9964965553334832,-0.13095474426509401,-0.09725587386448153,1.2461876516964443,21.217975466007285,21.857612338238734,18.275027152009304,artifacts_v7\hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0046,production_context_holdout,v7,hard,safety_endpoint,lightgbm,production_lightgbm_v7,2240.0,480.0,480.0,context_id-grouped 70/15/15,context_id,1,0.036304906586590024,-0.0028397489629419237,-0.024462249227065636,20.66834185450022,19.980074317145956,21.120137521008335,17.90449259748324,artifacts_v7\hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0047,production_context_holdout,v7,hard,safety_endpoint,xgboost,production_xgboost_v7,2240.0,480.0,480.0,context_id-grouped 70/15/15,context_id,1,0.04589524623691599,0.00768200628859006,-0.011185701915637614,20.56524283844922,19.874982858999058,20.982837727353164,17.797133639017737,artifacts_v7\hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0048,production_context_holdout,v7,hard,safety_endpoint,ebm,production_ebm_v7,2240.0,480.0,480.0,context_id-grouped 70/15/15,context_id,1,0.9528418018776768,-0.7305960077812426,-0.5278846565247632,4.572086240200114,26.246970207706145,25.792536080873635,20.996399837507926,artifacts_v7\hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0049,overfitting_diagnosis_reduced_complexity,v7,soft,general_shelf_life,ridge_regression,ridge_regression_per_category_specialist_valusedTrue,6160.0,1320.0,1320.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=True",context_id,1,0.9270358040379258,0.924274557951764,0.9095504416119964,6.864320918192976,,8.609533667008131,5.188769843813715,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0050,overfitting_diagnosis_reduced_complexity,v7,soft,general_shelf_life,ridge_regression,ridge_regression_per_category_specialist_valusedFalse,7480.0,1320.0,1320.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=False",context_id,1,0.927068848619818,0.9295465618150796,0.910913798469868,6.91980190935791,,8.544401039120688,5.158679305729663,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0051,overfitting_diagnosis_reduced_complexity,v7,soft,general_shelf_life,shallow_decision_tree,shallow_decision_tree_per_category_specialist_valusedTrue,6160.0,1320.0,1320.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=True",context_id,1,0.9208921015286492,0.9102356610707654,0.9258245819519428,7.147474300752575,,7.796620663365092,4.887166168045812,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0052,overfitting_diagnosis_reduced_complexity,v7,soft,general_shelf_life,shallow_decision_tree,shallow_decision_tree_per_category_specialist_valusedFalse,7480.0,1320.0,1320.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=False",context_id,1,0.9190846869817946,0.9111392312927068,0.9239330628493748,7.288740469245129,,7.895404195453798,4.939805763588414,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0053,overfitting_diagnosis_reduced_complexity,v7,soft,general_shelf_life,shallow_random_forest,shallow_random_forest_per_category_specialist_valusedTrue,6160.0,1320.0,1320.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=True",context_id,1,0.95339922960912,0.9344395228856048,0.9344158499277312,5.485790612200824,,7.331213219556174,4.268409565511,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0054,overfitting_diagnosis_reduced_complexity,v7,soft,general_shelf_life,shallow_random_forest,shallow_random_forest_per_category_specialist_valusedFalse,7480.0,1320.0,1320.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=False",context_id,1,0.9520812195450444,0.9552158854718864,0.9411652370868168,5.609058965747246,,6.943739300852688,4.139691515986002,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
