granularity,category,task,model,train_r2,train_rmse,val_r2,val_rmse,test_r2,test_rmse,test_mae,overfit_gap_train_minus_test_r2,n_train,n_val,n_test,svr_subsampled_to,training_duration_sec
aggregated_all_categories,ALL,safety_endpoint,lasso,0.6790797001188958,16.029905317538294,0.6354899100717155,16.178446608418867,0.6358921546869162,16.21153246901819,13.16324762816936,0.04318754543197967,8400,1800,1800,,0.7522468566894531
aggregated_all_categories,ALL,safety_endpoint,elastic_net,0.6784316029488382,16.046083316348156,0.6351177065059596,16.186704458165604,0.6369570470083081,16.187808484956474,13.161136559947874,0.04147455594053007,8400,1800,1800,,0.6422724723815918
aggregated_all_categories,ALL,safety_endpoint,bayesian_ridge,0.6795244271396856,16.01879445364889,0.6328635909460885,16.236625385939906,0.6338673256373868,16.256546703702753,13.208952039590747,0.04565710150229885,8400,1800,1800,,0.4758119583129883
aggregated_all_categories,ALL,safety_endpoint,knn_regressor_k5,0.7694834480467025,13.585743783711905,0.5714090617930322,17.542986735508357,0.509585715610008,18.8144101741192,14.956233333333333,0.25989773243669456,8400,1800,1800,,0.003087759017944336
aggregated_all_categories,ALL,safety_endpoint,svr_rbf,0.7057290240174349,15.349918618492742,0.6070338509705764,16.79807876258852,0.5948229975349977,17.101391357057825,13.578339834462927,0.11090602648243719,8400,1800,1800,4000.0,2.184722661972046
aggregated_all_categories,ALL,safety_endpoint,gradient_boosting,0.7423475497236043,14.36314354920237,0.6257128014812683,16.39398485493459,0.6351172762066404,16.2287736400725,12.822014236706993,0.1072302735169639,8400,1800,1800,,13.52909231185913
aggregated_all_categories,ALL,safety_endpoint,adaboost,0.6877739193119969,15.811277145998579,0.6352512696085335,16.183741661142122,0.6545205860802097,15.791381992707885,12.70246410400464,0.03325333323178725,8400,1800,1800,,1.7528505325317383
aggregated_all_categories,ALL,safety_endpoint,extra_trees,0.7637594668506855,13.753384021463093,0.6397653888397139,16.083285133640025,0.626473046812945,16.419881737048428,12.902289447980568,0.1372864200377405,8400,1800,1800,,2.4060590267181396
aggregated_all_categories,ALL,safety_endpoint,pls_regression,0.6785477384146721,16.043185507262685,0.6322599365470003,16.249968225986507,0.6294048412354709,16.35531537659571,13.291041573322566,0.04914289717920117,8400,1800,1800,,0.11327862739562988
aggregated_all_categories,ALL,safety_endpoint,dummy_mean_baseline,0.0,28.296476648703095,-0.00017987307765254812,26.799154854912405,-0.0002195355093428386,26.869322650830632,21.650335746031747,0.0002195355093428386,8400,1800,1800,,0.001027822494506836
