granularity,category,task,model,validation_split_used,train_r2,train_rmse,train_mae,val_r2,val_rmse,test_r2,test_rmse,test_mae,overfit_gap_train_minus_test_r2,n_fit,n_val,n_test,training_duration_sec
per_category_specialist,hard,safety_endpoint,shallow_random_forest,True,0.29803558159185695,17.639788014792767,15.09198868093377,-0.030599748460503617,20.254724742693384,-0.07912998424481832,21.676324398662004,18.15481339784544,0.37716556583667527,2240,480,480,0.28174924850463867
per_category_specialist,hard,safety_endpoint,shallow_random_forest,False,0.2718581240872804,17.803375982311884,15.197819205968724,0.26115281407240243,17.149783478368246,-0.06837174491704068,21.568004170329466,17.968860936021397,0.34022986900432106,2720,480,480,0.3066389560699463
per_category_specialist,hard,safety_endpoint,small_mlp,True,0.030785498631849095,20.727444644320453,17.816823737351108,-0.03230294704452641,20.27145460183525,-0.0565678038157178,21.44852582941584,18.168483650940097,0.0873533024475669,2240,480,480,1.084062099456787
per_category_specialist,hard,safety_endpoint,small_mlp,False,0.02732311705437762,20.576838863579752,17.686644679979278,0.02682124329700586,19.68238123938499,-0.03662971041319718,21.24518845535737,17.982745834352794,0.0639528274675748,2720,480,480,1.373896837234497
aggregated_all_categories,ALL,general_shelf_life,ridge_regression,True,0.9292999978972635,12.795563303242936,8.295379730123017,0.9215711424599969,13.813217723491183,0.9107642337487405,14.602094068706965,8.836475412232723,0.018535764148522982,15400,3300,3300,0.3044698238372803
aggregated_all_categories,ALL,general_shelf_life,ridge_regression,False,0.9281938506639983,12.952719556804388,8.417185558480272,0.9247193552809014,13.533140097412263,0.9102004064787498,14.648152365531562,8.873693632150696,0.01799344418524851,18700,3300,3300,1.119915246963501
aggregated_all_categories,ALL,general_shelf_life,shallow_decision_tree,True,0.8342447956075256,19.592203498169756,13.977608429662526,0.8226026189916,20.77449687926917,0.8419624961271123,19.432368795337855,14.160000280598775,-0.0077177005195866455,15400,3300,3300,0.3109574317932129
aggregated_all_categories,ALL,general_shelf_life,shallow_decision_tree,False,0.8305527873120031,19.89744707853479,13.946280623528676,0.8398211088891698,19.74056389312162,0.843389678117541,19.3444263026106,13.818495280961612,-0.012836890805537848,18700,3300,3300,0.23617839813232422
aggregated_all_categories,ALL,general_shelf_life,shallow_random_forest,True,0.879265274730013,16.72113662733309,11.646274420460184,0.8701920493837545,17.77082374747275,0.8831821482858331,16.70706918053499,11.954600010302762,-0.003916873555820044,15400,3300,3300,5.231761455535889
aggregated_all_categories,ALL,general_shelf_life,shallow_random_forest,False,0.8789765592780421,16.81569770798797,11.665152966044205,0.8835043658500985,16.834946389786726,0.8845881699122674,16.60622152818814,11.841819183656657,-0.005611610634225328,18700,3300,3300,4.314697265625
