model,n_rules,mean_r2,median_r2,std_r2,min_r2,max_r2,category,task,duration_sec
bayesian_ridge,8,0.09802675863544608,0.16252883130580292,0.7020933882101343,-1.327115762421644,0.8338451525286391,hard,general_shelf_life,1.2847974300384521
knn_regressor_k5,8,-16.44546141182937,-8.616039097152987,19.738886476155177,-55.18476083944008,0.5540381525586653,hard,general_shelf_life,0.7345931529998779
svr_rbf,8,-3.6027556279705575,-2.2752923083935213,4.139421905009753,-9.835219617074424,0.6903434270995907,hard,general_shelf_life,12.109230756759644
gradient_boosting,8,-0.19481960028029582,0.5288443602920281,1.30440197914868,-2.95443092036861,0.8583121992844883,hard,general_shelf_life,72.23490858078003
adaboost,8,-1.7111985480406855,0.4437996434802463,4.0922288866518075,-11.119295551951707,0.8044268253347795,hard,general_shelf_life,42.12566590309143
extra_trees,8,-0.2493918805191659,0.657386887047387,1.7762233729650831,-4.681374934644203,0.8506281276650369,hard,general_shelf_life,17.38870882987976
pls_regression,8,-0.14017654055676682,-0.17453640449621688,0.6757170398864898,-1.079107002013365,0.8027989451009196,hard,general_shelf_life,1.6295514106750488
dummy_mean_baseline,8,-14.346708387807874,-8.78351053424031,15.038768326698335,-38.35435826734274,-0.1419160591058919,hard,general_shelf_life,0.9219822883605957
lightgbm_production_hparams,8,0.18180229946395793,0.7029173704691878,1.079312061620744,-2.537189782997928,0.9248459025824939,hard,general_shelf_life,17.790783882141113
ridge_regression,10,-0.03911725285134813,-0.01939547008028275,0.058266447245362084,-0.16148990557370757,0.05548607877303113,hard,safety_endpoint,0.9991672039031982
shallow_decision_tree,10,-0.08731863722129748,-0.0440342986117469,0.09621706580041404,-0.2547748853396834,0.031332242861718984,hard,safety_endpoint,1.2056968212127686
shallow_random_forest,10,0.09208832282834117,0.08482528447705295,0.0722201136074367,-0.05397301602526694,0.18234196806724345,hard,safety_endpoint,5.924729347229004
small_mlp,10,-0.02162999344407599,0.008450594800866906,0.06255996703456582,-0.18213897057858186,0.024266004650659312,hard,safety_endpoint,29.883803606033325
lasso,10,-0.03369443145601968,-0.01603827679361447,0.056716081728263194,-0.1543351906819268,0.05349194887649067,hard,safety_endpoint,1.5070602893829346
elastic_net,10,-0.03165329449447627,-0.015895257743860025,0.0545892613310905,-0.15007021258227948,0.05231891740814887,hard,safety_endpoint,1.5925874710083008
bayesian_ridge,10,-0.013502866992245455,0.005671206718063759,0.041677933974582734,-0.1153339703916374,0.02980809509318927,hard,safety_endpoint,1.7984898090362549
knn_regressor_k5,10,0.034560026257168155,0.05342522439965747,0.10402225022723167,-0.12993007539222345,0.2276505334036134,hard,safety_endpoint,1.0633647441864014
svr_rbf,10,0.025160254782554257,0.02214956016768027,0.05038484014874668,-0.04209102505836526,0.09924357771385828,hard,safety_endpoint,14.719862699508667
gradient_boosting,10,0.21100304472465656,0.19750135623878445,0.12745395239797916,-0.014801466615725234,0.46375830899146087,hard,safety_endpoint,43.59503650665283
adaboost,10,0.04505388441866741,0.03596434061263898,0.0480954097545847,-0.02091421591576581,0.15277870052835285,hard,safety_endpoint,7.538804769515991
extra_trees,10,0.2910473107110226,0.30506561971660423,0.10120859002680567,0.11227056430603288,0.4211902586060774,hard,safety_endpoint,11.470573425292969
pls_regression,10,-0.04429904459075813,-0.023477707557017724,0.059287333137036075,-0.1771238248833371,0.043923791590725014,hard,safety_endpoint,1.3504927158355713
dummy_mean_baseline,10,-0.024715136959635498,-0.0017859152039083614,0.039255945224606584,-0.10634803863751174,-0.00025928087730786586,hard,safety_endpoint,0.9474585056304932
lightgbm_production_hparams,10,0.7067939359979712,0.7813866937414463,0.2074100297676416,0.37484655887429386,0.9273224848047121,hard,safety_endpoint,21.154624462127686
